Plastic,Reference,PDB entry,NCBI BLAST,taxonomy,GenBank/UniProt/MGnify,host,enzyme,gene,EC number,location/comment,UniProt,GenBank,RefSeq,PDB,MGnify,Other
PET,"Erickson, 2022",,ODU60407.1,Pseudomonadota (synonym with Proteobacteria),ODU60407.1,Comamonadaceae bacterium,Enzyme 406,,,,,ODU60407.1,,,,
PET,"Chen, 2021; Erickson, 2022",,WP_062195544.1,Pseudomonadota (synonym with Proteobacteria),WP_062195544.1,Caldimonas taiwanensis+D57,CtPL (Enzyme 504),,,,,,WP_062195544.1,,,
PET,"Avilan, 2023",,BAB86909.1,Pseudomonadota (synonym with Proteobacteria),Q8RR62,Acidovorax delafieldii,PbsA/AdCut,,EC 3.1.1.1,,Q8RR62,BAB86909.1,,,,
PET,"Ho, 2023",,,Pseudomonadota (synonym with Proteobacteria),,Aquabacterium parvum,ApLip-Ec,,,,,,,,,
PET,"Chen, 2021; Chen, 2021;Sagong, 2022; Huang, 2023",7CWG,OGB27210,Pseudomonadota (synonym with Proteobacteria),A0A1F4JXW8,Burkholderia bacterium,BurPL,,,,A0A1F4JXW8/OGB27210,,,7CWG,,
PET,"Qi, 2023",,,Pseudomonadota (synonym with Proteobacteria),,Pseudomonas sp.,GlacPETase,,,,,,,,,
PET,"de Witt, 2023",,WP_090538641.1,Pseudomonadota (synonym with Proteobacteria),WP_090538641.1,Halopseudomonas formosensis,Hfor_PE-H,,,,,,WP_090538641.1,,,
PET,"Zhou, 2024",,,Pseudomonadota (synonym with Proteobacteria),,Pseudomonas sp. JM16B3,jmPE13,,,,,,,,,
PET,"Zhou, 2024",,,Pseudomonadota (synonym with Proteobacteria),,Pseudomonas sp. JM16B3,jmPE14,,,,,,,,,
PET,"Chen, 2024",,,Pseudomonadota (synonym with Proteobacteria),,Pseudomonadota bacterium,dsPETase05,,,,,,,,,
PET,"Chen, 2024",,MEC8523093.1,Pseudomonadota (synonym with Proteobacteria),MEC8523093.1,Pseudomonadota bacterium,dsPETase06,,,,,MEC8523093.1,,,,
PET,"Jin, 2024",,QPA27412,Pseudomonadota (synonym with Proteobacteria),QPA27412,Brucella,PD3,,,,QPA27412,,,,,
PET,"Han, 2024",,WP_220815207,Pseudomonadota (synonym with Proteobacteria),WP_220815207,Pseudomonas paralcaligenes MRCP1333,PpPETase,,,,,,,,,WP_220815207
PET,"Sulaiman, 2012; Shirke, 2018; Tournier, 2020",4EBO and others,G9BY57.1,Actinomycetota,G9BY57,LCC,leaf compost metagenome,highly similar to HRB29 locus GBD22443,EC 3.1.1.74,,G9BY57.1,,,4EBO,,
PET,"Xi, 2021",7EOA,GBD22443.1,Actinomycetota,GBD22443,BhrPETase from HR29 bacterium,>96% identical to LCC,,EC 3.1.1.74,,,GBD22443.1,,7EOA,,
PET,"Dresler, 2006; Müller 2005; Kleeberg 1998; 2005",5ZOA,Q6A0I4,Thermobifida (Thermomonspora) fusca,Q6A0I4,T. fusca DSM43793,BTA-1,TfH,EC 3.1.1.74,,Q6A0I4,,,5ZOA,,
PET,"Dresler, 2006; Müller 2005; Kleeberg 1998; 2005",,Q6A0I3,Thermobifida (Thermomonspora) fusca,AJ810119,T. fusca DSM43793,BTA-2,TfH,EC 3.1.1.74,,AJ810119/Q6A0I3,,,,,
PET,"Herrero Acero, 2011",,ADV92528.1,Thermobifida (Thermomonspora) fusca,E9LVI0_THEFU,T. fusca DSM44342,TfH42_Cut1,,EC 3.1.1.74,,E9LVI0_THEFU,ADV92528.1,,,,
PET,"Chen, 2008; Su, 2013; Lykidis, 2007",,Q47RJ6,Thermobifida (Thermomonspora) fusca,Q47RJ6_THEFY,T. fusca (strain YX),WSH03-11,Tfu_0883,EC 3.1.1.74,,Q47RJ6_THEFY/Q47RJ6,,,,,
PET,"Chen, 2008",,Q47RJ7,Thermobifida (Thermomonspora) fusca,Q47RJ7_THEFY,T. fusca (strain YX),WSH03-11,Tfu_0882,EC 3.1.1.74,,Q47RJ7_THEFY/Q47RJ7,,,,,
PET,"Herrero Acero, 2011",,E5BBQ2,Thermobifida (Thermomonspora) fusca,E5BBQ2,T. fusca,TfCut_1 (Cut-1.kw3) (only active on 3PET; not on higher polymers!),,3.1.1.101,,E5BBQ2,,,,,
PET,"Furukawa, 2019, Roth, 2014; Wei 2016",4CG1,CBY05530,Thermobifida (Thermomonspora) fusca,E5BBQ3_THEFU,T. fusca,TfCut_2 (Cut-2.kw3),,EC 3.1.1.74,,E5BBQ3_THEFU/CBY05530,,,4CG1,,
PET,"Hedge, 2013",,AET05798.1,Thermobifida (Thermomonspora) fusca,JN129499.1,T. fusca NRRL B-8184,Cut1,,EC 3.1.1.74,,,JN129499.1/AET05798.1,,,,
PET,"Hedge, 2013",,AET05799.1,Thermobifida (Thermomonspora) fusca,JN129500.1,T. fusca NRRL B-8184,Cut2,,EC 3.1.1.74,,,JN129500.1/AET05799.1,,,,
PET,"Erickson, 2022",,WP_104613137.1,Thermobifida (Thermomonspora) fusca,WP_104613137.1,T. fusca,Enzyme 701,,,,,,WP_104613137.1,,,
PET,"Erickson, 2022",7QJQ,ADM47605.1,Thermobifida (Thermomonspora) fusca,ADM47605.1,T. fusca,Enzyme 702,,,,,ADM47605.1,,7QJQ,,
PET,"Herrero Acero, 2011, Ribitsch 2017",5LUI,ADV92526.1,Thermobifida (Thermomonspora) fusca,ADV92526.1,T. cellulosilytica DSM44535,Thc_Cut1,,EC 3.1.1.74,,,ADV92526.1,,5LUI,,
PET,"Herrero Acero, 2011 Ribitsch 2017",5LUJ,ADV92527.1,Thermobifida (Thermomonspora) fusca,ADV92571,T. cellulosilytica DSM44535,Thc_Cut2,,EC 3.1.1.74,,ADV92571,ADV92527.1,,5LUJ,,
PET,"Erickson, 2022",7QJT,WP_083947829.1,Thermobifida (Thermomonspora) fusca,WP_083947829.1,T. cellulosilytica,Enzyme 711,,,,,,WP_083947829.1,7QJT,,
PET,"Wei, 2014",,ACY96861.1,Thermobifida (Thermomonspora) fusca,D1A9G5,T. curvata DSM43183,Tcur_1278,,EC 3.1.1.74,,D1A9G5,ACY96861.1,,,,
PET,"Wei, 2014",,ACY95991.1,Thermobifida (Thermomonspora) fusca,ACY95991.1,T. curvata DSM43183,Tcur0390,,EC 3.1.1.74,,,ACY95991.1,,,,
PET,"Ribitsch, 2012",,AFA45122.1,Thermobifida (Thermomonspora) fusca,H6WX58,T. halotolerans,Thh_Est,,EC 3.1.1.1,,H6WX58,AFA45122.1,,,,
PET,"Hu, 2010; Erickson, 2022",,BAI99230.2,Thermobifida (Thermomonspora) fusca,BAI99230,T. alba (AHK119),Est1 (Hydrolase 4); Enzyme 708,,EC 3.1.1.1,,,BAI99230.2,,,,
PET,"Ribitsch, 2012",,ADV92525.1,Thermobifida (Thermomonspora) fusca,E9LVH7,T. alba DSM43185,Tha_Cut1,cut1,EC 3.1.1.74,,E9LVH7,ADV92525.1,,,,
PET,"Kitadokoro, 2019",6AID,BAK48590.1,Thermobifida (Thermomonspora) fusca,F7IX06,T. alba AHK119,Est119,est2,EC 3.1.1.1,,F7IX06,BAK48590.1,,6AID,,
PET,"Miyakawa, 2014; Kawai, 2014; Oda, 2018",4WFK and others,BAO42836.1,Thermobifida (Thermomonspora) fusca,W0TJ64,Saccharomonospora (Thermoactinomyces) viridis AHK190,Cut190,,EC 3.1.1.74,,W0TJ64,BAO42836.1,,4WFK,,
PET,"Erickson, 2022",,WP_082414832.1,Thermobifida (Thermomonspora) fusca,WP_082414832.1,Actinobacteria bacterium OK074,Enzyme 405,,,,,,WP_082414832.1,,,
PET,"Erickson, 2022",,WP_117215036.1,Thermobifida (Thermomonspora) fusca,WP_117215036.1,Allorhizocoloa rhizosphaerae,Enzyme 407,,,,,,WP_117215036.1,,,
PET,"Erickson, 2022",,EGD44994.1,Thermobifida (Thermomonspora) fusca,EGD44994.1,Nocardioidaceae bacterium,Enzyme 503,,,,,EGD44994.1,,,,
PET,"Liu et al. 2022 Erickson, 2022,",7QJO,WP_078759821.1,Thermobifida (Thermomonspora) fusca,WP_078759821.1,Marinactinospora thermotolerans,MtCut / Enzyme 606,,,,,,WP_078759821.1,7QJO,,
PET,"Erickson, 2022",,WP_107095481.1,Thermobifida (Thermomonspora) fusca,WP_107095481.1,Actinobacteria bacterium OV320,Enzyme 607,,,,,,WP_107095481.1,,,
PET,"Erickson, 2022",7QJP,WP_093412886.1,Thermobifida (Thermomonspora) fusca,WP_093412886.1,Saccharopolyspora flava,Enzyme 611,,,,,,WP_093412886.1,7QJP,,
PET,"Won, 2022",,UNZ22463.1,Thermobifida (Thermomonspora) fusca,UNZ22463.1,Rhodococcus sp.,Rcut (PBATh),OL660765,,,,UNZ22463.1,,,,
PET,"Jabloune, 2020",,QEX94755.1,Thermobifida (Thermomonspora) fusca,QEX94755.1,Streptomyces scabiei,Sub1,,,,,QEX94755.1,,,,
PET,"Almeida, 2019; Carr, 2023",,DAC80635,Thermobifida (Thermomonspora) fusca,DAC80635,Streptomyces sp. SM14,SM14est,,,,DAC80635,,,,,
PET,"Sonnendecker, 2022",,SAY37579.1,Thermobifida (Thermomonspora) fusca,SAY37579.1,Compost metagenome,PHL-12,,,,,SAY37579.1,,,,
PET,"Sonnendecker, 2022",,SAY37582.1,Thermobifida (Thermomonspora) fusca,SAY37582.1,Compost metagenome,PHL-22,,,,,SAY37582.1,,,,
PET,"Zhang, 2023",8A2C,WAU86704.1,Thermobifida (Thermomonspora) fusca,WAU86704.1,Amycolatopsis bacterium,PET40,,,,,WAU86704.1,,8A2C,,
PET,"Tiong, 2023",,WOR09923,Thermobifida (Thermomonspora) fusca,WOR09923,Microbispora sp.,SIBER-1,,,,WOR09923,,,,,
PET,"Chen, 2024",,,Thermobifida (Thermomonspora) fusca,,Aeromicrobium,dsPETase01,,,,,,,,,
PET,"Singh, 2024",,WID88783.1,Thermobifida (Thermomonspora) fusca,WID88783.1,Dietzia kunjamensis,Dkca1,,,,,WID88783.1,,,,
PET,"Han, 2024",,QDI72884,Thermobifida (Thermomonspora) fusca,QDI72884,Streptomyces calvus DSM 41452,ScPETase,,,,QDI72884,,,,,
PET,"Cavus, 2025",,WP_143447025.1,Thermobifida (Thermomonspora) fusca,A0A1W2FU08,Kibdelosporangium aridum,KaPETase,,,,A0A1W2FU08,,WP_143447025.1,,,
PET,"Ribitsch,2011",,ADH43200.1,Bacillota,ADH43200.1,Bacillus subtilis 4P3-11,BsEstB,,EC 3.1.1.1,,,ADH43200.1,,,,
PET,"Vidal, 2024",,APJ12152.1,Bacillota,APJ12152.1,Bacillus safensis,LipMRD9,,EC 3.1.1.3,,,APJ12152.1,,,,
PET,"Sonnendecker, 2022; Pfaff, 2022",7NEI; 7CUVA/7W69,7NEI_A / 7CUV_A,Bacillota,"7NEI_A/B /7CUV_A, MBO2503201.1",Thermoanaerobacter sp.,PHL-7 (PES-H1; PES-H2),,EC 3.1.1.74,,,MBO2503201.1,,7NEI_A/7NEI_B/7CUV_A/7NEI/7CUVA/7W69,,""
PET,,,,Bacillota,SAY37592.1,,,,,,,SAY37592.1,,,,
PET,"Sonnendecker, 2022",,SAY37583.1,Bacillota,SAY37583.1,Compost metagenome,PHL-32,,,,,SAY37583.1,,,,
PET,"Perz et al., 2015",,AKZ20828.1,Bacillota,AKZ20828.1,Clostridium botulinum ATCC3502,Cbotu_EstA3,,,,,AKZ20828.1,,,,
PET,"Hong, 2023","7YM9, 7YME",SHM40309.1,Bacillota,SHM40309.1,Cryptosporangium aurantiacum,CaPETase,,,,,SHM40309.1,,7YM9/7YME,,
PET,"Yan, 2024",,WP_108898452.1,Bacillota,WP_108898452.1,Caldibacillus thermoamylovorans,Lip4_120,,EC:3.1.1.3,,,,WP_108898452.1,,,
PET,"Yan, 2024",,CEE00769.1,Bacillota,CEE00769.1,Caldibacillus thermoamylovorans,Est8_89,,EC:4.2.99.20,,,CEE00769.1,,,,
PET,"Yan, 2024",,WP_041846030.1,Bacillota,WP_041846030.1,Caldibacillus thermoamylovorans,Est11_32,,,,,,WP_041846030.1,,,
PET,"Yan, 2024",,WP_041847557.1,Bacillota,WP_041847557.1,Caldibacillus thermoamylovorans,Est18_23,,EC 3.1.1.-,,,,WP_041847557.1,,,
PET,"Yan, 2024",,WP_034767800.1,Bacillota,WP_034767800.1,Caldibacillus thermoamylovorans,Ces19_14,,EC 3.1.1.1,,,,WP_034767800.1,,,
PET,"Yan, 2024",,WP_108898647.1,Bacillota,WP_108898647.1,Caldibacillus thermoamylovorans,Ces39_5,,EC 3.1.1.1,,,,WP_108898647.1,,,
PET,"Zhou, 2024",,WP_118011433,Bacillota,WP_118011433,Holdemanella biformis,HG-2,,,,,,,,,WP_118011433
PET,"Zhou, 2024",,RGD93181,Bacillota,RGD93181,Clostridiales bacterium AM23-16LB,HG-3,,,,RGD93181,,,,,
PET,"Zhou, 2024",,WP_013858543.1,Bacillota,WP_013858543.1,Heyndrickxia coagulans,HG-4,,,,,,WP_013858543.1,,,
PET,"Zhou, 2024",,,Bacillota,,Longicatena,HG-5,,,,,,,,,
PET,"Mamtimin, 2024",,,Bacillota,,TmFae-PETase (likely Enterococcaceae),,,,,,,,,,
PET,"Zhang, 2024",,,Bacillota,,HGMP01 (likely Acutalibacteraceae),,,,,,,,,,
PET,"Zhang, 2022",,WP_111881932,Bacteroidota,WP_111881932,Aequorivita sp. CIP111184,PET27,,EC 3.1.1.1,,,,,,,WP_111881932
PET,"Zhang, 2022",7PZJ,WP_039353427,Bacteroidota,WP_039353427,Kaistella (Chryseobacterium) jeonii,PET30,,EC 3.1.1.1,,,,,7PZJ,,WP_039353427
PET,"Erickson, 2022",7QJM,7QJM_A,Chloroflexota,YNPsite05_CeleraDRAFT_401410,Chloroflexus sp. MS-G,Enzyme 202,,,,,,,7QJM_A/7QJM,,YNPsite05_CeleraDRAFT_401410
PET,"Distaso, 2023",,UNZ81746,Chloroflexota,UNZ81746,Chloroflexi bacterium,IS104,,,,UNZ81746,,,,,
PET,"Distaso, 2023",,UNZ81748,Chloroflexota,UNZ81748,Chloroflexi bacterium,IS124,,,,UNZ81748,,,,,
PET,"Distaso, 2023",,UNZ81747,Chloroflexota,UNZ81747,Dehalococcoidia bacterium,IS114,,,,UNZ81747,,,,,
PET,"Danso et al., 2018; Makryniotis et al., 2023",,ADV66860,Deinococcata,E8U721,Deinococcus maricopensis DSM 21211,PET1/DmPETase,,,,E8U721/ADV66860,,,,,
PET,"Ercolano, 2024",,XDS72785.1,Thermodesulfobacteriota,XDS72785.1,Geothermal metagenome,Sis,,,,,XDS72785.1,,,,
PET,"Danso, 2018, Nakamura, 2021",7ECB and others,ACC95208.1,Metagenome-derived without a phylogenetic affiliation,ACC95208.1,Metagenome-derived,no obvious affiliation,"PET2, lipIAF5-2",EC 3.1.1.1,,,ACC95208.1,,7ECB,,
PET,"Erickson, 2022",,,Metagenome-derived without a phylogenetic affiliation,YNPsite06_CeleraDRAFT_263770,Metagenome-derived. no obvious affiliation,Enzyme 101,,,,,,,,,YNPsite06_CeleraDRAFT_263770
PET,"Erickson, 2022",,,Metagenome-derived without a phylogenetic affiliation,YNP6_02150,Metagenome-derived. no obvious affiliation,Enzyme 102,,,,,,,,,YNP6_02150
PET,"Erickson, 2022",,,Metagenome-derived without a phylogenetic affiliation,YNP18_240440,Metagenome-derived. no obvious affiliation,Enzyme 204,,,,,,,,,YNP18_240440
PET,"Erickson, 2022",,,Metagenome-derived without a phylogenetic affiliation,JzSedJan11_10004914,Metagenome-derived. no obvious affiliation,Enzyme 211,,,,,,,,,JzSedJan11_10004914
PET,"Erickson, 2022",,,Metagenome-derived without a phylogenetic affiliation,YNPsite06_CeleraDRAFT_160970,Metagenome-derived. no obvious affiliation,Enzyme 214,,,,,,,,,YNPsite06_CeleraDRAFT_160970
PET,"Erickson, 2022",,,Metagenome-derived without a phylogenetic affiliation,YNPsite06_CeleraDRAFT_367810,Metagenome-derived. no obvious affiliation,Enzyme 301,,,,,,,,,YNPsite06_CeleraDRAFT_367810
PET,"Erickson, 2022",,,Metagenome-derived without a phylogenetic affiliation,GxsBSedJan11_10251181,Metagenome-derived. no obvious affiliation,Enzyme 305,,,,,,,,,GxsBSedJan11_10251181
PET,"Erickson, 2022",,,Metagenome-derived without a phylogenetic affiliation,JGI20132J14458_10325381,Metagenome-derived,no obvious affiliation,Enzyme 307,,,,,,,,JGI20132J14458_10325381
PET,"Sonnendecker, 2022",,SAY37584.1,Metagenome-derived without a phylogenetic affiliation,SAY37584.1,Compost metagenome,PHL-42,,,,,SAY37584.1,,,,
PET,"Sonnendecker, 2022",,SAY37587.1,Metagenome-derived without a phylogenetic affiliation,SAY37587.1,Compost metagenome,PHL-52,,,,,SAY37587.1,,,,
PET,"Sonnendecker, 2022",,SAY37589.1,Metagenome-derived without a phylogenetic affiliation,SAY37589.1,Compost metagenome,PHL-62,,,,,SAY37589.1,,,,
PET,"Perez-Garcia, 2023",8B4U,RLI42440.1,Archaea,RLI42440.1,Candidatus Bathyarchaeota archaeon,PET46,,EC 3.1.1.73,,,RLI42440.1,,8B4U,,
PET,"Ronkvist, 2009, Carniel, 2017; Brackmann, 2023",1TCA and others,LIPB_PSEA2,Eukarya,LIPB_PSEA2,Pseudozyma (Candida) antarctica,lipase B,CalB,EC 3.1.1.3,,,,,1TCA,,LIPB_PSEA2
PET,"Brackmann, 2023",,,Eukarya,,Pseudozyma (Candida) antarctica,CaL,,EC 3.1.1.3,,,,,,,
PET,"Silva, 2005",1AGY and others,AAA33335.1,Eukarya,AAA33335.1,Fusarium solani,FsC,,EC 3.1.1.74,,,AAA33335.1,,1AGY,,
PET,"Dimarogona, 2015",5AJH,EXK81749,Eukarya,X0BTD8,Fusarium oxysporum,FoCut5a,,EC 3.1.1.74,,X0BTD8/EXK81749,,,5AJH,,
PET,"Ronkvist, 2009, Carniel, 2017; Brackmann, 2023",4OYL and others,4OYY_A,Eukarya,A0A075B5G4,Humicola insolens,HiC,,EC 3.1.1.74,,A0A075B5G4,,,4OYY_A/4OYL,,
PET,"Brueckner, 2008; Eberl, 2009; Brackmann, 2023",,,Eukarya,,Thermomyces lanuginosus,Lipozyme TL,,EC 3.1.1.3,,,,,,,
PET,"Vázquez-Alcántara, 2021",,ESK97883,Eukarya,ESK97883,Moniliophthora roreri,MRCUT1,,EC 3.1.1.74,,ESK97883,,,,,
PET,"Brackmann, 2023",,,Eukarya,,Rhizomucor miehei,RmL,,EC 3.1.1.3,,,,,,,
PET,"Brinch-Pedersen, 2024",,KAH7127633,Eukarya,KAH7127633,Dactylonectria macrodidyma,DmC,,EC 3.1.1.74,,KAH7127633,,,,,
PET,"Brinch-Pedersen, 2024",,,Eukarya,,Thermocarpiscus australiensis,TaC,,EC 3.1.1.74,,,,,,,
PET,"Brinch-Pedersen, 2024",,,Eukarya,,Remersonia thermophila,RtC,,EC 3.1.1.74,,,,,,,
PET,"Huang, 2024",,,Eukarya,,Mammal glutathione S-transferase6,,,,,,,,,,
PET,"Huang, 2024",,,Eukarya,,Homo sapiens,Trypsin,,,,,,,,,
PET,"Huang, 2024",,,Eukarya,,Homo sapiens,CYP450,,,,,,,,,
PET,"Robles-Martín, 2023",,,Engineered enzymes without WT hydrolase activity,,Actinia fragacea,FraC5,,,,,,,,,
PBAT,"Wallace, 2016",,WP_003460012,Bacteria,W6R2Y2,Pseudomonas pseudoalcaligenes,PpEst (tesA),,EC 3.1.1.,,W6R2Y2,,,,,WP_003460012
PBAT,"Soulenthone, 2021",,BCL64964.1,Bacteria,A0A7I8E2Z4,Rhodococcus fascians NKCM2511,PBATHRF,pbath,,,A0A7I8E2Z4,BCL64964.1,,,,
PBAT,"Perz, 2016",,ALS54749.1,Bacteria,ALS54749.1,Clostridium hathewayi DSM-13479,Chath_Est1,,,,,ALS54749.1,,,,
PBAT,"Kleeberg, 2005; Müller,2005",,,Bacteria,,Thermobifida fusca,TfH,,,,,,,,,
PBAT,"Perz, 2016",5LUI,ADV92526.1,Bacteria,ADV92526.1,Thermobifida cellulosilytica,Thc_cut1,,EC 3.1.1.74,,,ADV92526.1,,5LUI,,
PBAT,"Thumarat, 2015",,BAI99230.2,Bacteria,BAI99230,Thermobifida alba,Est1,,EC 3.1.1.1,,,BAI99230.2,,,,
PBAT,"Thumarat, 2012",,BAK48590.1,Bacteria,F7IX06,Thermobifida alba,Est119,,EC 3.1.1.1,,F7IX06,BAK48590.1,,,,
PBAT,"Biundo, 2016",,EIW29778.1,Bacteria,EIW29778.1,Pelosinus fermentans DSM 17108,PFL1,,,,,EIW29778.1,,,,
PBAT,"Perz, 2015",5AH1,AKZ20828.1,Bacteria,AKZ20828.1,Clostridium botulinum,Cbotu_EstA,,,,,AKZ20828.1,,5AH1,,
PBAT,"Perz, 2015",,AKZ20829.1,Bacteria,AKZ20829.1,Clostridium botulinum,Cbotu_EstB,,,,,AKZ20829.1,,,,
PBAT,"Muroi, 2017",,BAV72205.1,Bacteria,A0A1E1FNX8,Bacillus pumilus,PBATHBp,,,,A0A1E1FNX8,BAV72205.1,,,,
PBAT,"Wu, 2023",,WP_015255658.1,Bacteria,L0EF70,Thermobacillus composti KWC4,Tcca,,,,L0EF70,,WP_015255658.1,,,
PBAT,"Meyer-Cifuentes, 2020",7VPA,,Bacteria,OK558824,Marinobacter sp.,PLE629,,,,OK558824,,,7VPA,,
PBAT,"Meyer-Cifuentes, 2020",7VMD,,Bacteria,OK558825,Marinobacter sp.,PLE628,,,,OK558825,,,7VMD,,
PBAT,"Zhou, 2024",,,Bacteria,,Pseudomonas sp. JM16B3,jmPE13,,,,,,,,,
PBAT,"Zhou, 2024",,,Bacteria,,Pseudomonas sp. JM16B3,jmPE14,,,,,,,,,
PBAT,"Perz, 2016",4OYL and others,4OYY_A,Eukarya,A0A075B5G4,Humicola insolens,HiC,,EC 3.1.1.74,,A0A075B5G4,,,4OYY_A/4OYL,,
PBAT,"Jiang, 2024",,XAQ58225,Eukarya,XAQ58225,Blastobotrys sp. G-9,BaCut1,,,,XAQ58225,,,,,
