PLZ_ID,pdb_id,structure_source,structure_method,resolution,pdb_path
ce1110707a,5LUJ,RCSB_PDB,X-RAY DIFFRACTION,2.2 Å,pdb/5LUJ.pdb
5ba8e169db,7Q04,RCSB_PDB,X-RAY DIFFRACTION,2.281 Å,pdb/7Q04.pdb
0f91408247,7Q04,RCSB_PDB,X-RAY DIFFRACTION,2.281 Å,pdb/7Q04.pdb
57a9cf2b6e,7DZT,RCSB_PDB,X-RAY DIFFRACTION,2.35 Å,pdb/7DZT.pdb
fc7a9b40c6,4WFK,RCSB_PDB,X-RAY DIFFRACTION,2.35 Å,pdb/4WFK.pdb
da71e6ad8a,7VPA,RCSB_PDB,X-RAY DIFFRACTION,2.35 Å,pdb/7VPA.pdb
6e7f13c84a,7VPA,RCSB_PDB,X-RAY DIFFRACTION,2.35 Å,pdb/7VPA.pdb
91351ca686,6JTT,RCSB_PDB,X-RAY DIFFRACTION,2.51 Å,pdb/6JTT.pdb
c2af84ff2d,8WV2,RCSB_PDB,X-RAY DIFFRACTION,2.66 Å,pdb/8WV2.pdb
a07f81ab9e,7CWG,RCSB_PDB,X-RAY DIFFRACTION,2.8 Å,pdb/7CWG.pdb
c0e6029ac0,4EB0,RCSB_PDB,X-RAY DIFFRACTION,1.50 Å,pdb/4EB0.pdb
